park_name,category,subcategory,civic_no,street,address,city,province,country,latitude,longitude,name,desc,color,source,precision
IDLEWOOD CREEK NATURAL AREA,NATURAL AREA,OPEN SPACE/WETLAND,895,FAIRWAY RD N,895 FAIRWAY RD N,KITCHENER,ONTARIO,CANADA,43.4287407,-80.4319771,"FAIRWAY RD N, KITCHENER, ONTARIO, CANADA","Fairway Rd N, Kitchener, ON N2A, Canada",,Bing Maps,street
FALCONRIDGE DRIVE NATURAL AREA - SWP,OPEN SPACE,OPEN SPACE/SWM,91,FALCONRIDGE DR,91 FALCONRIDGE DR,KITCHENER,ONTARIO,CANADA,43.4962255,-80.4733095,"FALCONRIDGE DR, KITCHENER, ONTARIO, CANADA","Falconridge Dr, Kitchener, ON N2K, Canada",,Bing Maps,street
WESTHEIGHTS PARK NATURAL AREA,NEIGHBOURHOOD PARK,TO INPUT,401,WESTHEIGHTS DR,401 WESTHEIGHTS DR,KITCHENER,ONTARIO,CANADA,43.4282645,-80.5306159,"WESTHEIGHTS DR, KITCHENER, ONTARIO, CANADA","Westheights Dr, Kitchener, ON N2N, Canada",,Bing Maps,street
SCHNEIDER CREEK FLOODPLAIN,GREENWAY,OPEN SPACE/FLOODPLAIN,54,MILL ST,54 MILL ST,KITCHENER,ONTARIO,CANADA,43.4357643,-80.4856305,"MILL ST, KITCHENER, ONTARIO, CANADA","Mill St, Kitchener, ON N2M, Canada",,Bing Maps,street
BANFFSHIRE PARK,NEIGHBOURHOOD PARK,PLAY AREA,85,BANFFSHIRE ST,85 BANFFSHIRE ST,KITCHENER,ONTARIO,CANADA,43.3872599,-80.4716274,"BANFFSHIRE ST, KITCHENER, ONTARIO, CANADA","Banffshire St, Kitchener, ON N2R, Canada",,Bing Maps,street
WESTMEADOW PARK,NEIGHBOURHOOD PARK,OPEN SPACE/TRAIL,281,WESTMEADOW DR,281 WESTMEADOW DR,KITCHENER,ONTARIO,CANADA,43.4293075,-80.5471645,"WESTMEADOW DR, KITCHENER, ONTARIO, CANADA","Westmeadow Dr, Kitchener, ON N2N, Canada",,Bing Maps,street
HENRY STURM GREENWAY - SWP,OPEN SPACE,OPEN SPACE/SWM,328,WEST AVE,328 WEST AVE,KITCHENER,ONTARIO,CANADA,43.4424338,-80.5033644,"WEST AVE, KITCHENER, ONTARIO, CANADA","West Ave, Kitchener, ON N2M, Canada",,Bing Maps,street
LIPS PARK,NEIGHBOURHOOD PARK,PLAY AREA,187,LANCASTER ST W,187 LANCASTER ST W,KITCHENER,ONTARIO,CANADA,43.460757,-80.483274,"LANCASTER ST W, KITCHENER, ONTARIO, CANADA","Lancaster St W, Kitchener, ON N2H, Canada",,Bing Maps,street
GLENDALE PARK,NEIGHBOURHOOD PARK,PLAY AREA,130,GLEN RD,130 GLEN RD,KITCHENER,ONTARIO,CANADA,43.4363642,-80.4991421,"GLEN RD, KITCHENER, ONTARIO, CANADA","Glen Rd, Kitchener, ON N2M, Canada",,Bing Maps,street
MORGAN PARK,NEIGHBOURHOOD PARK,MINOR SPORTSFIELD,325,MORGAN AVE,325 MORGAN AVE,KITCHENER,ONTARIO,CANADA,43.4284509,-80.4284983,"MORGAN AVE, KITCHENER, ONTARIO, CANADA","Morgan Ave, Kitchener, ON N2A, Canada",,Bing Maps,street
DEER RIDGE PARK NATURAL AREA,NATURAL AREA,TO INPUT,471,DEER RIDGE DR,471 DEER RIDGE DR,KITCHENER,ONTARIO,CANADA,43.4028885,-80.4170705,"DEER RIDGE DR, KITCHENER, ONTARIO, CANADA","Deer Ridge Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
ROCKWAY GARDENS,CITY WIDE PARK,PASSIVE AREA,7,FLORAL CRES,7 FLORAL CRES,KITCHENER,ONTARIO,CANADA,43.4377776,-80.4624816,"FLORAL CRES, KITCHENER, ONTARIO, CANADA","Floral Crescent, Kitchener, ON N2G, Canada",,Bing Maps,street
PROSPERITY TRAIL,GREENWAY,OPEN SPACE/TRAIL,,PROSPERITY DR,PROSPERITY DR,KITCHENER,ONTARIO,CANADA,43.4101834,-80.5275689,"PROSPERITY DR, KITCHENER, ONTARIO, CANADA","Prosperity Dr, Kitchener, ON N2E, Canada",,Bing Maps,street
HYDRO CORRIDOR TRAIL,OPEN SPACE,OPEN SPACE/TRAIL,,PARKVALE DR,PARKVALE DR,KITCHENER,ONTARIO,CANADA,43.3890027,-80.4779947,"PARKVALE DR, KITCHENER, ONTARIO, CANADA","Parkvale Dr, Kitchener, ON N2R, Canada",,Bing Maps,street
BUDD PARK,DISTRICT PARK,MAJOR SPORTSFIELD,1111,HOMER WATSON BLVD,1111 HOMER WATSON BLVD,KITCHENER,ONTARIO,CANADA,43.386724,-80.4119148,"HOMER WATSON BLVD, KITCHENER, ONTARIO, CANADA","Homer Watson Blvd, Kitchener, ON N2P, Canada",,Bing Maps,street
MORRISON PARK,NEIGHBOURHOOD PARK,MINOR SPORTSFIELD,245,MORRISON RD,245 MORRISON RD,KITCHENER,ONTARIO,CANADA,43.4356588,-80.4127435,"MORRISON RD, KITCHENER, ONTARIO, CANADA","Morrison Rd, Kitchener, ON N2A, Canada",,Bing Maps,street
CIVIC CENTRE PARK,NEIGHBOURHOOD PARK,PLAY AREA,101,QUEEN ST N,101 QUEEN ST N,KITCHENER,ONTARIO,CANADA,43.4565815,-80.4836827,"QUEEN ST N, KITCHENER, ONTARIO, CANADA","Queen St N, Kitchener, ON N2H, Canada",,Bing Maps,street
SPEAKERS CORNER,GREEN (URBAN PLAZA),PASSIVE AREA,69,KING ST E,69 KING ST E,KITCHENER,ONTARIO,CANADA,43.438758,-80.4636758,"KING ST E, KITCHENER, ONTARIO, CANADA","King St E, Kitchener, ON N2G, Canada",,Bing Maps,street
STIRLING GREEN,GREEN (PARKETTE),PASSIVE AREA,,STIRLING AVE S,STIRLING AVE S,KITCHENER,ONTARIO,CANADA,43.4410234,-80.4843618,"STIRLING AVE S, KITCHENER, ONTARIO, CANADA","Stirling Ave S, Kitchener, ON N2G, Canada",,Bing Maps,street
UNION LANE GREEN,GREEN (PARKETTE),OPEN SPACE,220,UNION LANE,220 UNION LANE,KITCHENER,ONTARIO,CANADA,43.4718503,-80.4855486,"UNION LANE, KITCHENER, ONTARIO, CANADA","Union Lane, Kitchener, ON N2H, Canada",,Bing Maps,street
MONTGOMERY PARK,NEIGHBOURHOOD PARK,PLAY AREA,135,MONTGOMERY RD,135 MONTGOMERY RD,KITCHENER,ONTARIO,CANADA,43.4378737,-80.4585557,"MONTGOMERY RD, KITCHENER, ONTARIO, CANADA","Montgomery Rd, Kitchener, ON N2H, Canada",,Bing Maps,street
HIGHBROOK - SWP,OPEN SPACE,OPEN SPACE/SWM,280,HIGHBROOK CRES,280 HIGHBROOK CRES,KITCHENER,ONTARIO,CANADA,43.4099782,-80.5028836,"HIGHBROOK CRES, KITCHENER, ONTARIO, CANADA","Highbrook Crescent, Kitchener, ON N2E, Canada",,Bing Maps,street
UNIROYAL-GOODRICH PARK,NEIGHBOURHOOD PARK,PLAY AREA,250,GUELPH ST,250 GUELPH ST,KITCHENER,ONTARIO,CANADA,43.4609797,-80.5005017,"GUELPH ST, KITCHENER, ONTARIO, CANADA","Guelph St, Kitchener, ON N2H, Canada",,Bing Maps,street
KOLB PARK NATURAL AREA,NATURAL AREA,OPEN SPACE/TRAIL,235,CENTENNIAL CRT,235 CENTENNIAL CRT,KITCHENER,ONTARIO,CANADA,43.4756283,-80.4280588,"CENTENNIAL CRT, KITCHENER, ONTARIO, CANADA","Centennial Crt, Kitchener, ON N2B, Canada",,Bing Maps,street
GRAND RIVER NATURAL AREA - LANCASTER BUSINESS PARK,NATURAL AREA,OPEN SPACE/TRAIL,,RIVERBEND DR,RIVERBEND DR,KITCHENER,ONTARIO,CANADA,43.4668388,-80.467437,"RIVERBEND DR, KITCHENER, ONTARIO, CANADA","Riverbend Dr, Kitchener, ON N2B, Canada",,Bing Maps,street
SCHNEIDER PARK NATURAL AREA,NATURAL AREA,OPEN SPACE/FLOODPLAIN,3571,KING ST E,3571 KING ST E,KITCHENER,ONTARIO,CANADA,43.438758,-80.4636758,"KING ST E, KITCHENER, ONTARIO, CANADA","King St E, Kitchener, ON N2G, Canada",,Bing Maps,street
SANDROCK CREEK GREENWAY,GREENWAY,OPEN SPACE/FLOODPLAIN,,FISCHER HALLMAN RD TO ROYAL ORCHARD DR,FISCHER HALLMAN RD TO ROYAL ORCHARD DR,KITCHENER,ONTARIO,CANADA,43.4375851,-80.5299872,"FISCHER HALLMAN RD TO ROYAL ORCHARD DR, KITCHENER, ONTARIO, CANADA","Fischer Hallman Rd, Kitchener, ON N2M, Canada",,Bing Maps,street
GREENBROOK PUMPING STATION,OPEN SPACE,PUMPING STATION,20,GREENBROOK DRIVE,20 GREENBROOK DRIVE,KITCHENER,ONTARIO,CANADA,43.4252943,-80.5118468,"GREENBROOK DRIVE, KITCHENER, ONTARIO, CANADA","Greenbrook Dr, Kitchener, ON N2M, Canada",,Bing Maps,street
ROLLING MEADOWS PARK,NEIGHBOURHOOD PARK,MINOR SPORTSFIELD,200,ROLLING MEADOWS DR,200 ROLLING MEADOWS DR,KITCHENER,ONTARIO,CANADA,43.4225129,-80.5452983,"ROLLING MEADOWS DR, KITCHENER, ONTARIO, CANADA","Rolling Meadows Dr, Kitchener, ON N2N, Canada",,Bing Maps,street
GROVE DRIVE GREENWAY,GREENWAY,OPEN SPACE/TRAIL,,GROVE DR,GROVE DR,KITCHENER,ONTARIO,CANADA,43.4151146,-80.5103653,"GROVE DR, KITCHENER, ONTARIO, CANADA","Grove Dr, Kitchener, ON N2E, Canada",,Bing Maps,street
GRAND RIVER NATURAL AREA - OLD MILL,NATURAL AREA,OPEN SPACE/WETLAND,1810,OLD MILL RD,1810 OLD MILL RD,KITCHENER,ONTARIO,CANADA,43.3934933,-80.41451,"OLD MILL RD, KITCHENER, ONTARIO, CANADA","Old Mill Rd, Kitchener, ON N2P, Canada",,Bing Maps,street
BLOCK LINE RD - SWP,OPEN SPACE,OPEN SPACE/SWM,,BLOCK LINE RD,BLOCK LINE RD,KITCHENER,ONTARIO,CANADA,43.414067,-80.4828398,"BLOCK LINE RD, KITCHENER, ONTARIO, CANADA","Block Line Rd, Kitchener, ON N2E, Canada",,Bing Maps,street
GRAND RIVER NATURAL AREA - OTTERBEIN,NATURAL AREA,OPEN SPACE/TRAIL,650,OTTERBEIN RD,650 OTTERBEIN RD,KITCHENER,ONTARIO,CANADA,43.4661391,-80.4304205,"OTTERBEIN RD, KITCHENER, ONTARIO, CANADA","Otterbein Rd, Kitchener, ON N2B, Canada",,Bing Maps,street
TRAILVIEW PARK NATURAL AREA,NEIGHBOURHOOD PARK,TO INPUT,21,TRAILVIEW DRIVE,21 TRAILVIEW DRIVE,KITCHENER,ONTARIO,CANADA,43.4266808,-80.5345236,"TRAILVIEW DRIVE, KITCHENER, ONTARIO, CANADA","Trailview Dr, Kitchener, ON N2N, Canada",,Bing Maps,street
HELENA FEASBY ST - SWP,OPEN SPACE,OPEN SPACE/SWM,1440,BLEAMS RD,1440 BLEAMS RD,KITCHENER,ONTARIO,CANADA,43.4098971,-80.4619459,"BLEAMS RD, KITCHENER, ONTARIO, CANADA","Bleams Rd, Kitchener, ON N2E, Canada",,Bing Maps,street
VETERANS' GREEN,GREEN,PASSIVE AREA,,SPADINA RD E,SPADINA RD E,KITCHENER,ONTARIO,CANADA,43.4389333,-80.4976358,"SPADINA RD E, KITCHENER, ONTARIO, CANADA","Spadina Rd E, Kitchener, ON N2M, Canada",,Bing Maps,street
SOPHIA PARK,NEIGHBOURHOOD PARK,PLAY AREA,97,SOPHIA CRES,97 SOPHIA CRES,KITCHENER,ONTARIO,CANADA,43.3863965,-80.4848585,"SOPHIA CRES, KITCHENER, ONTARIO, CANADA","Sophia Crescent, Kitchener, ON N2R, Canada",,Bing Maps,street
GRAND RIVER NATURAL AREA - RIVER RIDGE,NATURAL AREA,OPEN SPACE/TRAIL,1270,OLD ZELLER DR,1270 OLD ZELLER DR,KITCHENER,ONTARIO,CANADA,43.4523576,-80.4074068,"OLD ZELLER DR, KITCHENER, ONTARIO, CANADA","Old Zeller Dr, Kitchener, ON N2A, Canada",,Bing Maps,street
HYDRO CORRIDOR TRAIL,OPEN SPACE,OPEN SPACE/TRAIL,,RIVER RD E,RIVER RD E,KITCHENER,ONTARIO,CANADA,43.4581692,-80.4527454,"RIVER RD E, KITCHENER, ONTARIO, CANADA","River Rd E, Kitchener, ON N2B, Canada",,Bing Maps,street
GRAND RIVER CORRIDOR (GRCA),NATURAL AREA,OPEN SPACE/TRAIL,,PIONEER TOWER RD,PIONEER TOWER RD,KITCHENER,ONTARIO,CANADA,43.4061679,-80.4088027,"PIONEER TOWER RD, KITCHENER, ONTARIO, CANADA","Pioneer Tower Rd, Kitchener, ON N2P, Canada",,Bing Maps,street
SYLVIA PARK,NEIGHBOURHOOD PARK,PLAY AREA,25,SYLVIA ST,25 SYLVIA ST,KITCHENER,ONTARIO,CANADA,43.4816292,-80.4653314,"SYLVIA ST, KITCHENER, ONTARIO, CANADA","Sylvia St, Kitchener, ON N2K, Canada",,Bing Maps,street
HENRY STURM GREENWAY,GREENWAY,OPEN SPACE/TRAIL,,WEST AVE,WEST AVE,KITCHENER,ONTARIO,CANADA,43.4424338,-80.5033644,"WEST AVE, KITCHENER, ONTARIO, CANADA","West Ave, Kitchener, ON N2M, Canada",,Bing Maps,street
MEADOWLANE PARK,NEIGHBOURHOOD PARK,PARK,138,GLEN PARK CRES,138 GLEN PARK CRES,KITCHENER,ONTARIO,CANADA,43.4163837,-80.5258263,"GLEN PARK CRES, KITCHENER, ONTARIO, CANADA","Glen Park Crescent, Kitchener, ON N2N, Canada",,Bing Maps,street
TECUMSEH PARK,NEIGHBOURHOOD PARK,PLAY AREA,140,INDIAN RD,140 INDIAN RD,KITCHENER,ONTARIO,CANADA,43.4580013,-80.4377577,"INDIAN RD, KITCHENER, ONTARIO, CANADA","Indian Rd, Kitchener, ON N2B, Canada",,Bing Maps,street
MADISON GREEN,GREEN (PARKETTE),PASSIVE AREA,65,MADISON AVE N,65 MADISON AVE N,KITCHENER,ONTARIO,CANADA,43.446728,-80.4820984,"MADISON AVE N, KITCHENER, ONTARIO, CANADA","Madison Ave N, Kitchener, ON N2H, Canada",,Bing Maps,street
WOODSIDE PARK,NEIGHBOURHOOD PARK,MAJOR SPORTSFIELD,45,WOODSIDE AVE,45 WOODSIDE AVE,KITCHENER,ONTARIO,CANADA,43.4413952,-80.4948056,"WOODSIDE AVE, KITCHENER, ONTARIO, CANADA","Woodside Ave, Kitchener, ON N2M, Canada",,Bing Maps,street
FOREST HEIGHTS COMMUNITY CENTRE AND FIRE HALL,NEIGHBOURHOOD PARK,MINOR SPORTSFIELD,1700,QUEENS BLVD,1700 QUEENS BLVD,KITCHENER,ONTARIO,CANADA,43.4385846,-80.5011334,"QUEENS BLVD, KITCHENER, ONTARIO, CANADA","Queen's Blvd, Kitchener, ON N2M, Canada",,Bing Maps,street
HOMER WATSON PARK NATURAL AREA,NATURAL AREA,OPEN SPACE/WOODLAND,40,GREEN VALLEY DR,40 GREEN VALLEY DR,KITCHENER,ONTARIO,CANADA,43.3985915,-80.4326108,"GREEN VALLEY DR, KITCHENER, ONTARIO, CANADA","Green Valley Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
MARKET GREEN,GREEN (PARKETTE),PASSIVE AREA,31,SCOTT ST,31 SCOTT ST,KITCHENER,ONTARIO,CANADA,43.4511588,-80.4839263,"SCOTT ST, KITCHENER, ONTARIO, CANADA","Scott St, Kitchener, ON N2H, Canada",,Bing Maps,street
GRCA LANDS (GRCA),NATURAL AREA,OPEN SPACE/FLOODPLAIN,,PIONEER TOWER RD,PIONEER TOWER RD,KITCHENER,ONTARIO,CANADA,43.4061679,-80.4088027,"PIONEER TOWER RD, KITCHENER, ONTARIO, CANADA","Pioneer Tower Rd, Kitchener, ON N2P, Canada",,Bing Maps,street
LANCASTER PARK,NEIGHBOURHOOD PARK,PLAY AREA,559,LANCASTER ST W,559 LANCASTER ST W,KITCHENER,ONTARIO,CANADA,43.460757,-80.483274,"LANCASTER ST W, KITCHENER, ONTARIO, CANADA","Lancaster St W, Kitchener, ON N2H, Canada",,Bing Maps,street
VANIER PARK,NEIGHBOURHOOD PARK,PLAY AREA,329,VANIER DR,329 VANIER DR,KITCHENER,ONTARIO,CANADA,43.4206043,-80.4553018,"VANIER DR, KITCHENER, ONTARIO, CANADA","Vanier Dr, Kitchener, ON N2C, Canada",,Bing Maps,street
STABLER GREEN,GREEN (PARKETTE),PASSIVE AREA,115,WEBER ST E,115 WEBER ST E,KITCHENER,ONTARIO,CANADA,43.4436524,-80.4667194,"WEBER ST E, KITCHENER, ONTARIO, CANADA","Weber St E, Kitchener, ON N2H, Canada",,Bing Maps,street
MILLWOOD PARK,NEIGHBOURHOOD PARK,TO INPUT,130,MILLWOOD CRES,130 MILLWOOD CRES,KITCHENER,ONTARIO,CANADA,43.3978971,-80.4493905,"MILLWOOD CRES, KITCHENER, ONTARIO, CANADA","Millwood Crescent, Kitchener, ON N2P, Canada",,Bing Maps,street
GRAND RIVER FLOODPLAIN (KING STREET EAST)(GRCA),OPEN SPACE,OPEN SPACE/TRAIL,,KING ST E,KING ST E,KITCHENER,ONTARIO,CANADA,43.438758,-80.4636758,"KING ST E, KITCHENER, ONTARIO, CANADA","King St E, Kitchener, ON N2G, Canada",,Bing Maps,street
VOISIN PARK,NEIGHBOURHOOD PARK,MINOR SPORTSFIELD,225,ACTIVA AVE,225 ACTIVA AVE,KITCHENER,ONTARIO,CANADA,43.407123,-80.5118318,"ACTIVA AVE, KITCHENER, ONTARIO, CANADA","Activa Ave, Kitchener, ON N2E, Canada",,Bing Maps,street
FRANKLIN PARK,NEIGHBOURHOOD PARK,MINOR SPORTSFIELD,335,FRANKLIN ST N,335 FRANKLIN ST N,KITCHENER,ONTARIO,CANADA,43.4383965,-80.4457932,"FRANKLIN ST N, KITCHENER, ONTARIO, CANADA","Franklin St N, Kitchener, ON N2A, Canada",,Bing Maps,street
LANG GREEN,GREEN (PARKETTE),PASSIVE AREA,69,VICTORIA ST S,69 VICTORIA ST S,KITCHENER,ONTARIO,CANADA,43.446906,-80.5041527,"VICTORIA ST S, KITCHENER, ONTARIO, CANADA","Victoria St S, Kitchener, ON N2G, Canada",,Bing Maps,street
STRASBURG CREEK NATURAL AREA,NATURAL AREA,OPEN SPACE/WETLAND,,STRASBURG RD,STRASBURG RD,KITCHENER,ONTARIO,CANADA,43.4025882,-80.4695072,"STRASBURG RD, KITCHENER, ONTARIO, CANADA","Strasburg Rd, Kitchener, ON N2R, Canada",,Bing Maps,street
KIWANIS PARK,CITY WIDE PARK,PLAY AREA,1000,KIWANIS PARK DR,1000 KIWANIS PARK DR,KITCHENER,ONTARIO,CANADA,43.501175,-80.4769442,"KIWANIS PARK DR, KITCHENER, ONTARIO, CANADA","Kiwanis Park Dr, Kitchener, ON N2K, Canada",,Bing Maps,street
SCHARLACH GREEN,GREEN (PARKETTE),PASSIVE AREA,,BELMONT AVE W,BELMONT AVE W,KITCHENER,ONTARIO,CANADA,43.4404954,-80.508644,"BELMONT AVE W, KITCHENER, ONTARIO, CANADA","Belmont Ave W, Kitchener, ON N2M, Canada",,Bing Maps,street
HENRY STURM GREENWAY,GREENWAY,OPEN SPACE/FLOODPLAIN,,WEST AVE,WEST AVE,KITCHENER,ONTARIO,CANADA,43.4424338,-80.5033644,"WEST AVE, KITCHENER, ONTARIO, CANADA","West Ave, Kitchener, ON N2M, Canada",,Bing Maps,street
TILT'S TRAIL,GREENWAY,OPEN SPACE/TRAIL,,TILT DR,TILT DR,KITCHENER,ONTARIO,CANADA,43.3876117,-80.4374351,"TILT DR, KITCHENER, ONTARIO, CANADA","Tilt Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
VICTORIA GREEN,GREEN,OPEN SPACE,460,DAVID ST,460 DAVID ST,KITCHENER,ONTARIO,CANADA,43.4440545,-80.4974165,"DAVID ST, KITCHENER, ONTARIO, CANADA","David St, Kitchener, ON N2G, Canada",,Bing Maps,street
JOSEPH SCHOERG PARK,NEIGHBOURHOOD PARK,HISTORIC SITE,,JOSEPH SCHOERG CRES,JOSEPH SCHOERG CRES,KITCHENER,ONTARIO,CANADA,43.4008807,-80.4154656,"JOSEPH SCHOERG CRES, KITCHENER, ONTARIO, CANADA","Joseph Schoerg Crescent, Kitchener, ON N2P, Canada",,Bing Maps,street
GRAND RIVER NATURAL AREA - OLD COTTAGE LANE,NATURAL AREA,OPEN SPACE/TRAIL,,KESTREL PL,KESTREL PL,KITCHENER,ONTARIO,CANADA,43.4961347,-80.4722495,"KESTREL PL, KITCHENER, ONTARIO, CANADA","Kestrel St, Kitchener, ON N2K, Canada",,Bing Maps,street
JOE THOMPSON PARK,DISTRICT PARK,MAJOR SPORTSFIELD,8,BRIDGE ST E,8 BRIDGE ST E,KITCHENER,ONTARIO,CANADA,43.4799936,-80.4768583,"BRIDGE ST E, KITCHENER, ONTARIO, CANADA","Bridge St E, Kitchener, ON N2K, Canada",,Bing Maps,street
MARIGOLD PARK,GREEN (PARKETTE),PLAY AREA,375,ROBERT FERRIE DR,375 ROBERT FERRIE DR,KITCHENER,ONTARIO,CANADA,43.3782108,-80.4498606,"ROBERT FERRIE DR, KITCHENER, ONTARIO, CANADA","Robert Ferrie Dr, Kitchener, ON N2R, Canada",,Bing Maps,street
WATER TREATMENT TRAIL (REGION),NATURAL AREA,OPEN SPACE/TRAIL,368,MILL PARK RD,368 MILL PARK RD,KITCHENER,ONTARIO,CANADA,43.3958263,-80.4222215,"MILL PARK RD, KITCHENER, ONTARIO, CANADA","Mill Park Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
ROSENBERG PARK,DISTRICT PARK,MAJOR SPORTSFIELD,600,HERITAGE DR,600 HERITAGE DR,KITCHENER,ONTARIO,CANADA,43.4568436,-80.4348903,"HERITAGE DR, KITCHENER, ONTARIO, CANADA","Heritage Dr, Kitchener, ON N2B, Canada",,Bing Maps,street
BORDEN WETLANDS,OPEN SPACE,OPEN SPACE/WOODLAND,1085,FISCHER HALLMAN RD,1085 FISCHER HALLMAN RD,KITCHENER,ONTARIO,CANADA,43.4213466,-80.5164913,"FISCHER HALLMAN RD, KITCHENER, ONTARIO, CANADA","Fischer Hallman Rd, Kitchener, ON N2M, Canada",,Bing Maps,street
WALLENBERG PARK,GREEN (PARKETTE),PASSIVE AREA,160,WEBER ST E,160 WEBER ST E,KITCHENER,ONTARIO,CANADA,43.4436524,-80.4667194,"WEBER ST E, KITCHENER, ONTARIO, CANADA","Weber St E, Kitchener, ON N2H, Canada",,Bing Maps,street
BRIGADOON PARK NATURAL AREA,NEIGHBOURHOOD PARK,TO INPUT,127,BIEHN DR,127 BIEHN DR,KITCHENER,ONTARIO,CANADA,43.3960229,-80.4554545,"BIEHN DR, KITCHENER, ONTARIO, CANADA","Biehn Dr, Kitchener, ON N2R, Canada",,Bing Maps,street
OLD HURON GREEN,GREEN,PASSIVE AREA,119,OLD HURON PL,119 OLD HURON PL,KITCHENER,ONTARIO,CANADA,43.3978392,-80.4539437,"OLD HURON PL, KITCHENER, ONTARIO, CANADA","Old Huron Pl, Kitchener, ON N2E, Canada",,Bing Maps,street
GRAND RIVER NATURAL AREA - BRIDGEPORT TRAIL,NATURAL AREA,OPEN SPACE/TRAIL,44,TYSON DR,44 TYSON DR,KITCHENER,ONTARIO,CANADA,43.4828487,-80.4783307,"TYSON DR, KITCHENER, ONTARIO, CANADA","Tyson Dr, Kitchener, ON N2K, Canada",,Bing Maps,street
LAURENTIAN TRAIL (HYDRO),OPEN SPACE,OPEN SPACE/TRAIL,,LAURENTIAN DR,LAURENTIAN DR,KITCHENER,ONTARIO,CANADA,43.4174342,-80.4992195,"LAURENTIAN DR, KITCHENER, ONTARIO, CANADA","Laurentian Dr, Kitchener, ON N2E, Canada",,Bing Maps,street
WESTCHESTER PARK,NEIGHBOURHOOD PARK,PLAY AREA,173,WESTCHESTER DR,173 WESTCHESTER DR,KITCHENER,ONTARIO,CANADA,43.4614834,-80.433051,"WESTCHESTER DR, KITCHENER, ONTARIO, CANADA","Westchester Dr, Kitchener, ON N2B, Canada",,Bing Maps,street
WINDRUSH PARK,NEIGHBOURHOOD PARK,OPEN SPACE/TRAIL,155,WINDRUSH TRAIL,155 WINDRUSH TRAIL,KITCHENER,ONTARIO,CANADA,43.3819643,-80.4214349,"WINDRUSH TRAIL, KITCHENER, ONTARIO, CANADA","Windrush Trail, Kitchener, ON N2P, Canada",,Bing Maps,street
LUDOLPH TRAIL,OPEN SPACE,OPEN SPACE/TRAIL,,LUDOLPH ST,LUDOLPH ST,KITCHENER,ONTARIO,CANADA,43.382874,-80.4945546,"LUDOLPH ST, KITCHENER, ONTARIO, CANADA","Ludolph St, Kitchener, ON N2R, Canada",,Bing Maps,street
GLENVISTA DR - SWP,OPEN SPACE,OPEN SPACE/SWM,157,SEABROOK DR,157 SEABROOK DR,KITCHENER,ONTARIO,CANADA,43.3859006,-80.4969817,"SEABROOK DR, KITCHENER, ONTARIO, CANADA","Seabrook Dr, Kitchener, ON N2R, Canada",,Bing Maps,street
HOMEWOOD GREEN,GREEN (PARKETTE),OPEN SPACE/TRAIL,161,HOMEWOOD AVE,161 HOMEWOOD AVE,KITCHENER,ONTARIO,CANADA,43.4427033,-80.500322,"HOMEWOOD AVE, KITCHENER, ONTARIO, CANADA","Homewood Ave, Kitchener, ON N2M, Canada",,Bing Maps,street
HIGHGATE ROAD - SWP,OPEN SPACE,OPEN SPACE/SWM,3,HIGHGATE RD,3 HIGHGATE RD,KITCHENER,ONTARIO,CANADA,43.4330563,-80.5493673,"HIGHGATE RD, KITCHENER, ONTARIO, CANADA","Highgate Rd, Kitchener, ON N2N, Canada",,Bing Maps,street
ASH PARK,NEIGHBOURHOOD PARK,PLAY AREA,7,ASH ST,7 ASH ST,KITCHENER,ONTARIO,CANADA,43.4695404,-80.483453,"ASH ST, KITCHENER, ONTARIO, CANADA","Ash St, Kitchener, ON N2H, Canada",,Bing Maps,street
RITTENHOUSE PARK,NEIGHBOURHOOD PARK,MINOR SPORTSFIELD,345,RITTENHOUSE RD,345 RITTENHOUSE RD,KITCHENER,ONTARIO,CANADA,43.4099445,-80.4831502,"RITTENHOUSE RD, KITCHENER, ONTARIO, CANADA","Rittenhouse Rd, Kitchener, ON N2E, Canada",,Bing Maps,street
SOUTH UPPER CANADA PARK,NEIGHBOURHOOD PARK,PLAY AREA,216,PIONEER DR,216 PIONEER DR,KITCHENER,ONTARIO,CANADA,43.3939,-80.4404702,"PIONEER DR, KITCHENER, ONTARIO, CANADA","Pioneer Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
BANCROFT STREET - SWP,OPEN SPACE,OPEN SPACE/SWM,69,BANCROFT ST,69 BANCROFT ST,KITCHENER,ONTARIO,CANADA,43.4400044,-80.431914,"BANCROFT ST, KITCHENER, ONTARIO, CANADA","Bancroft St, Kitchener, ON N2A, Canada",,Bing Maps,street
ISAIAH PL - SWP,OPEN SPACE,OPEN SPACE/SWM,910,ISAIAH PL,910 ISAIAH PL,KITCHENER,ONTARIO,CANADA,43.403621,-80.5214622,"ISAIAH PL, KITCHENER, ONTARIO, CANADA","Isaiah Pl, Kitchener, ON N2E, Canada",,Bing Maps,street
GLENCLIFFE CRT - SWP,OPEN SPACE,OPEN SPACE/SWM,305,KEEWATIN AVE,305 KEEWATIN AVE,KITCHENER,ONTARIO,CANADA,43.4626519,-80.4296449,"KEEWATIN AVE, KITCHENER, ONTARIO, CANADA","Keewatin Ave, Kitchener, ON N2B, Canada",,Bing Maps,street
